aaj ka Bada kutta, आज का बच्चा को डाटा,,  Both model prediction and ground truth wrong
theek hai, ठीक है,, No mistake
DN, डीएन,, No mistake
increase my internet speed, इन क्लीस माइ रेट स्पीड,, Similar Sounding Word Predicted
Mujhe network mein dikkat hai, मुझे नेटवर्क में दिक्कत है,, No mistake
Mujhe new plans dekhna hai, विजेन नू प्लान बीमार,, Random Prediction
increase my internet speed, इन क्लीस माइ रेट स्पीड,, Incorrect Single Word Prediction
Mujhe 5 GB data mile hain 7 din ke liye please check Karke bataen, मुझे पास जीबी डाटा मिले है सा दिन के लिए प्लीस चक्कर के बताएं,, Doesnt pick up English
Star Gold to lagao, स्टार गोल्ड दो लगा,, Incorrect Prediction of repetition of words
yes, येस,, Incorrect Single Word Prediction
account balance batao, अकाउंट बैलेंस बता,, Similar Sounding Word Predicted
Amazon Prime video, अमेज़ॉन प्राइम हो,, Incorrect Single Word Prediction
account balance, अकाउंट बैलेंस,, Similar Sounding Word Predicted
IFSC code, आइ हर सी गुड,, Random Prediction
Mani Ratnam Ke Karan main ise Ko Chhod raha hun, आज मन का उतने के कार में इस 7 को छोड़ रहा हूं,, Incorrect Single Word Prediction
ki bolati, की थी,,  Both model prediction and ground truth wrong
data balance kitna hai, डाटा बैलेंस कितना है,, No mistake
Mani Ratnam Ke Karan main ise Ko Chhod raha hun, आज मन का उतने के कार में इस 7 को छोड़ रहा हूं,, Incorrect Prediction of repetition of words
data plans, डाटा प्लान्स,, No mistake
abe suar Mere data balance, फॉर डॉग अब वो मेरे डाटा ब,, Incorrect Prediction of repetition of words
how to call detail, हाउ दो कौल डिटे,, Random Prediction
free hello tunes, फ्री हेलो ट्यून,, No mistake
increase my internet speed, इन क्लीस माइ रेट स्पीड,, Incorrect Prediction of repetition of words
abe suar Mere data balance, फॉर डॉग अब वो मेरे डाटा ब,, Random Prediction
ok, के,, Incorrect Single Word Prediction
data balance, डाटा बैलेंस,, No mistake
data balance, थाट ऑफ एले,, Random Prediction
only call, ओनली कौल,, No mistake
ISD, आईएसडी,, No mistake
Pata Chalta ki recording, अब चलता है कि राडि,, Fast Spoken Sentence
India versus Bangladesh live cricket match, इंडिया वे सी ओर से म,, Random Prediction
hello kya kar rahe ho, हैलो क्या कर रहे हो,, No mistake
call transaction, कौल ट्रांसक्शन,, Similar Sounding Word Predicted
Airtel volte Kaise enable kar sakte hain, एयरटेल वॉल टी को कैसे निबिल कर सकते हैं,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
god bless him I hope I will go on seeing them forever, गॉड ब्लेस हिम आइ होप इल गोन सीइंग थेम फॉरेवर,, Doesnt pick up English
what, पोर्ट,, Doesnt pick up English
Airtel volte Kaise enable kar sakte hain, एयरटेल वॉल टी को कैसे निबिल कर सकते हैं,, Incorrect Prediction of repetition of words
hello, हैलो,, No mistake
Airtel volte Kaise enable kar sakte hain, एयरटेल वॉल टी को कैसे निबिल कर सकते हैं,, Incorrect Single Word Prediction
data balance, डाटा बैलेंस,, No mistake
account mein balance kitna hai, माइ अकाउंट में बैलेंस कितना,, No mistake
call detail female, पर को डिकल क्यों नहीं कर रह,,  Both model prediction and ground truth wrong
you are at work you have, यु आर कवर थेन यु हाव दो लिसन 3,,  Both model prediction and ground truth wrong
account mein balance kitna hai, माइ अकाउंट में बैलेंस कितना,, Incorrect Single Word Prediction
incoming pack, इनकमिंग पैक,, No mistake
you are at work you have, यु आर कवर थेन यु हाव दो लिसन 3,,  Both model prediction and ground truth wrong
data balance, डाटा बैलेंस,, No mistake
Dil Bata Do, बिल बता दो,, Wrong Ground Truth
Airtel TV ka bill, एयरटेल टीवी का बिल,, No mistake
Airtel ringtones, एयरटेल रिंग टोन्स,, Similar Sounding Word Predicted
data balance, डाटा बैलेंस,, No mistake
Airtel ringtones, एयरटेल रिंग टोन्स,, No mistake
Airtel digital TV, एयरटल डिजिटल टीवी,, No mistake
call waiting is not on, कौल बिटिंग इस नोट ऑन,, V instead of B
account, अकाउंट बना है,, Extra Words Predicted
data balance, डाटा बैलेंस,, No mistake
Cartoon Network channel, काट ट्रक चैनल,, Random Prediction
Bil plants, बिल प्लान,, Wrong Ground Truth
call waiting is not on, कौल बिटिंग इस नोट ऑन,, Similar Sounding Word Predicted
activate, एक्टिवेट,, No mistake
mobile mein aapane message kiya kya chij ka lock kya hai, इन 1 में अपने मेसेज के 1 सका पान चला गय,, Wrong Ground Truth
ok, के,, Incorrect Single Word Prediction
my plan, माइ प्लेस,, Incorrect Single Word Prediction
ok, के,, Doesnt pick up English
data balance, डाटर विन,, Random Prediction
sex Karoge, इस सेक्स को दो,, Incorrect Single Word Prediction
naya plan, नया प्लान,, No mistake
fore School, पोस्कोड,, Random Prediction
hello tune, हेलो ट्यून,, No mistake
network coverage problem, नेटवर्क करेज फ्लो,, Incorrect Prediction of repetition of words
hello, हलो,, No mistake
recharge, रिचार्ज,, No mistake
my plan, माइ प्लेस,, Incorrect Single Word Prediction
Mera jio mein, मेरा जीव में,, Incorrect Single Word Prediction
Mera balance kya hai, मेरा बैलेंस क्या है,, No mistake
aapka naam kya hai, आपका नाम क्या है,, No mistake
Mujhe Hamen DND activate karna tha, मुझे हम डी डी एक्टिवेट करना था,,  Both model prediction and ground truth wrong
audio gana, आइ डु यु वांट न,, Random Prediction
fore School, पोस्कोड,, Random Prediction
QR code, के आर कोड,, Similar Sounding Word Predicted
Airtel TV, मिट्टी,, No mistake
Airtel TV, मिट्टी,, Doesnt pick up English
international call, इंटरनेशनल कॉल,, No mistake
what is your name, वाट इस युवर,, Extra Words Predicted
recharge kitne ka hota hai, रिचार्ज खतने का होता है,, No mistake
recharge kitne ka hota hai, रिचार्ज खतने का होता है,, Similar Sounding Word Predicted
kaise hota hai, कोट ऐसा होती हो,, Fast Spoken Sentence
Mera data Kitna bacha hai, मेरा डाटा कितना बचा है,, No mistake
last recharge ki jankari batao, बार फीचर्स की जानकारी बताओ,, Incorrect Prediction of repetition of words
namaste, नमस्ती,, Similar Sounding Word Predicted
I want to play games, आइ ऑन ए प्ले अगेंस,, Similar Sounding Word Predicted
Mera Kitna data bacha hai, मेरा कितना डाटा उच्चा है,, Incorrect Single Word Prediction
bill details, बिल,, Doesnt pick up English
Kutte Land fudi, उत्ते लंड खुदी,, Incorrect Prediction of repetition of words
balance batao, बैलेंस बताओ,, No mistake
date off birth bataen, डाटा बैलेंस कटा है,,  Both model prediction and ground truth wrong
DN, डीएन बी,, Wrong Ground Truth
madam Hindi English mein Jankari chahie, मैडम तुम ने से ले लेगी मुझे आर पैक की जानकारी चाहिए,,  Both model prediction and ground truth wrong
Mera is mahine ka bill Kitna banaa hai, मेरा इस महीने का बिल कितना बना है,, No mistake
aap kya kam Karte Hain, आप क्या काम करते हैं,, No mistake
DN, डीएन बी,,  Both model prediction and ground truth wrong
Kundali Bhagya, कुरजी भाग्य,, Incorrect Single Word Prediction
Star Sport, स्टार्स फोर्ट,, Similar Sounding Word Predicted
han browse plans, हा ब्रज प्लानज़,, Incorrect Single Word Prediction
Mera internet usage batao, मेरा इंटरनेट यूसेज बताओ,, No mistake
data balance, डाटा बैलेंस,, Similar Sounding Word Predicted
Sani Leon ke sexy video, सनीली उनकी सेक्सी वीडियो,, Incorrect Prediction of repetition of words
hello tune Kaise lagaen, हेलो ट्यून कैसे लगवाएं,, Extra Words Predicted
recharge, रिचार्ज,, No mistake
recharge, रिचार्ज,, No mistake
Delhi, ले,, Random Prediction
and TV, एल टीवी,, Incorrect Single Word Prediction
Mera balance kitna hai, मेरा बैलेंस कितना है,, No mistake
Airtel se paise Kaise bheje, एयरटेल से पैसे कैसे भेजें,, Similar Sounding Word Predicted
Airtel se paise Kaise bheje, एयरटेल से पैसे कैसे भेजें,, No mistake
teachers can do, ना रिचार्ज कर दो,, Wrong Ground Truth
Angry Bird movie  Angry Bird, एंड द वर्ड मू,, Random Prediction
heroine ka hot movie, 0 का हार्ड मूवी,, Doesnt pick up English
Mujhe Airtel thanks download karne ke bad 5gb Kyon nahin mila, व्हिच ही 1 टेक्स डाउनलोड करते के बाद 5 जीवी की डीविला,, Incorrect Prediction of repetition of words
Kuchh To bolo, कुछ तो बोलो,, No mistake
keyboard, की को,, Doesnt pick up English
Mira discount offer kya hai, मेरा डिस काउंट ओवर क्या है,, Incorrect Prediction of repetition of words
Mira discount offer kya hai, मेरा डिस काउंट ओवर क्या है,, Incorrect Single Word Prediction
Aaj Tak TV, आज तक टीवी,, No mistake
Airtel Wi-Fi, एयरटेल वाईफाई,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
Mera data kitna hai, मेरा डाना कितना है,, Incorrect Single Word Prediction
Kumkum Bhagya, को कम भाग्य,, Incorrect Single Word Prediction
hello tune Kaise lagaen, हेलो ट्यून कैसे लगवाएं,, Similar Sounding Word Predicted
SAS Nagar, 700,, Fast Spoken Sentence
my plans, माइ लास,, Doesnt pick up English
hello tune can be activated directly on the wynk app, हैलो टून कान बी एक्टीवटेड डाइरेकली ऑन द विंग कप,, Incorrect Prediction of repetition of words
I want to know my account balance, आइ वांट दो मू माइ अकाउंट बैलेंस,, Incorrect Prediction of repetition of words
my plans, माइ लास,, Incorrect Single Word Prediction
yes, येस,, No mistake
naye plan, म प्लान,, Incorrect Prediction of repetition of words
Hamen Ek GB mil sakti hai, हमें 1 जीबी मिल सकती है,, No mistake
naye plan, म प्लान,, Incorrect Single Word Prediction
mujhe kuchh nai nai plans batao, मुझे कुछ नए नए प्लान्स बताओ,, No mistake
iska Na Karna chahie, ही इस कप को लगनी न हो मना करना चाहिए न इस,,  Both model prediction and ground truth wrong
naya plans, नए प्लान्स,, No mistake
kya aap ne recharge plan, क्या आप नियर रिचार प्लान,,  Both model prediction and ground truth wrong
Mera Kitna deta baki hai abhi, मेरा कितना डाटा बाकी है अभी,, No mistake
Mera data kitna hai, मेरा डाना कितना है,, Doesnt pick up English
hello tune set Airtel, ए लो कोन से ट,, Random Prediction
my plans, माइ लास,, No mistake
Kumkum Bhagya, को कम भाग्य,, Incorrect Single Word Prediction
my plans, माइ लास,, Incorrect Single Word Prediction
naye plans, नए प्लान्स,, No mistake
hello tune, हेलो ट्यून,, No mistake
international roaming pack, इंटरनेशनल रोमिंग पैक,, No mistake
iska Na Karna chahie, ही इस कप को लगनी न हो मना करना चाहिए न इस,, Fast Spoken Sentence
account se paise cut Gaye per recharge hua hi Nahin, अकाउंट से पैसे कट लेबर रीड आउट 201,, Random Prediction
balance kab khatm hoga, बैलेंस कब खत्म होगा,, No mistake
recharge balance bataen, रिचार्ज बैलेंस बताओ,, No mistake
data plan, द टॉप प्लान,, Incorrect Single Word Prediction
data plan, द टॉप प्लान,, Incorrect Prediction of repetition of words
data plan, द टॉप प्लान,,  Both model prediction and ground truth wrong
Nepali song, में पॉल इस सा,, Random Prediction
data plan, द टॉप प्लान,, Incorrect Single Word Prediction
I want to know where is my free data I just installed first time Airtel app, मेन आइ डोंट दो नो मे आ फ़्री थाट आइ टोल्ड फर्स्ट टाइम डेल,, Incorrect Prediction of repetition of words
data balance, डाटा बैलेंस,, No mistake
I want to know my current balance, आइ वांट दो नो माइ करेंट बैलेंस,, Incorrect Single Word Prediction
Mujhe recharge karna tha, मुझे रिचार्ज करना था,, No mistake
Hamen do Jeevika Udar chahie, हमें दो जीवी का उभार चाहिए,,  Both model prediction and ground truth wrong
Barood Dil, बार दिन,, Incorrect Single Word Prediction
DND request, द इंदीद गव,, Doesnt pick up English
197, 197,, No mistake
hi, हाइ,, Similar Sounding Word Predicted
network Nahin a raha hai, नेटवर्क नहीं आ रहा है,, No mistake
149 mein kya milega, 1 सेलेंट जिस मे इन ए गमले प,, Random Prediction
data, डाटा बना,,  Both model prediction and ground truth wrong
10 GB kaise use Karen, 10 जीबी कैसे यूज करें,, No mistake
Gandu, गांडू,, No mistake
199, 199,, No mistake
dasvin actor, द ही क,, Random Prediction
data packs, डाटा पैक्स,, Similar Sounding Word Predicted
recharge, रिचार्ज,, No mistake
mobile data pata karne ke liye, वो डाटा पता ने के लिए,, Incorrect Prediction of repetition of words
free data, री डाटा,, Similar Sounding Word Predicted
hello tune, हेलो ट्यून,, No mistake
100 Ka Kar De, अंडे का कर दें,, Incorrect Single Word Prediction
how to activate ISD services, हाउ दो एक्टिवटे हस्ती सर्विसेस,, Incorrect Single Word Prediction
fuck you, छत्ती,, Random Prediction
Mera Kaun Sa plan chal raha hai, मेड ए कौनसा प्लांट ड्रा,, Random Prediction
Dangal channel, दंगल चैनल्स,, Similar Sounding Word Predicted
DND activate karna, डीएन एक्टिवेट करना,, Incorrect Single Word Prediction
network Nahin a Raha, नेटवर्क नहीं आ रहा,, No mistake
main plant ke bare mein batao, मैंने प्लान्स के बारे में बता,, Wrong Ground Truth
kya, छा,, Random Prediction
Stri movie, स्क्री होगी,, Random Prediction
Bar Bar Yahi bhejoge kya, बार बार यही वे चुके क्या,, Similar Sounding Word Predicted
naya plan, नए प्लान्स,, Similar Sounding Word Predicted
10 rupaye ka, 10 रुपये का,, No mistake
network network, नेटवर,, Incorrect Single Word Prediction
Ham call nahin kar pa rahe hain, हम कॉल नहीं कर पा रहे हैं,, No mistake
bus ticket, बस टिकट,, No mistake
recharge, रिचार्ज,, No mistake
internet Ke Liye Koi Mari, इनमें थोड़ी बन के पहले ह,, Random Prediction
internet Ke Liye Koi Mari, इनमें थोड़ी बन के पहले ह,,  Both model prediction and ground truth wrong
Krishna, के,,  Both model prediction and ground truth wrong
Sani Leon ki movie, सनली वांट दो मोबी,, Random Prediction
Mera Bilz dikha do, मेरा बिल दिखा दो,, Wrong Ground Truth
Krishna, के,, Fast Spoken Sentence
how to set ringtone, हाउ दो सेट रिंगटन,, Incorrect Single Word Prediction
Sani Leon ki movie, सनली वांट दो मोबी,, Incorrect Prediction of repetition of words
mujhe mere free data se matlab hai mujhe Mera data Diya Jaaye, मुझे मेरे फ्री डाटा से मतलब मुझे मेरा डाटा भी जाए,, Incorrect Prediction of repetition of words
network kab theek Honge, नेटवर्क अब ठीक होंगे,, Incorrect Single Word Prediction
download Palace, डा नोट बैलेंस,,  Both model prediction and ground truth wrong
hello tune set Karen, आलू ट्वि सेट करें,, Incorrect Prediction of repetition of words
Google Mujhe puchna hai apne data ke bare mein mera data kitna hai, गूगल मुझे पूछ में अपने डाटा के ने में में डाक कितना है,, Random Prediction
account ki jankari, अकाउंट की जानकारी,, No mistake
data pack, डाटा पैक,, No mistake
10 rupaye ka free recharge kar dijiye please, 10 रुपये का फ्री रिचार्ज कर दीजिये प्लीस,, No mistake
Congress, काउंट बैलेंस,,  Both model prediction and ground truth wrong
kaise ho, कैसे हो,, Similar Sounding Word Predicted
kaise ho, कैसे हो,, No mistake
account balance check, अकाउंट बैलेंस्ट,, Incorrect Single Word Prediction
Internet share, इंटरनेट शेयर,, No mistake
data, डाट,, Similar Sounding Word Predicted
Discover Airtel thanks, डिस्कोर एयरटेल थंक्य्स,, Incorrect Single Word Prediction
19 recharge mein kya de rahe hain, उन्हें से केरी पाज में क्या दे रहे हैं,, Incorrect Prediction of repetition of words
account balance, अकाउंट ब्लेंस,, No mistake
account balance check, अकाउंट बैलेंस्ट,, Doesnt pick up English
no, 9,, Similar Sounding Word Predicted
yes, येस,, No mistake
account balance check, अकाउंट बैलेंस्ट,, Last word verb missing
Internet share, इंटरनेट शेयर,, No mistake
add account remove, एंड का द रिमूव,, Random Prediction
mujhe mere free data se matlab hai mujhe Mera data Diya Jaaye, मुझे मेरे फ्री डाटा से मतलब मुझे मेरा डाटा भी जाए,, Incorrect Single Word Prediction
yes, येस,, No mistake
recharge kaise karen, रिचार्ज कैसे करें,, No mistake
10 rupaye ka free recharge kar dijiye please, 10 रुपये का फ्री रिचार्ज कर दीजिये प्लीस,, No mistake
Mere Data ko off kar dijiye, मेरे डाटा को ऑफ कर दीजिए,, No mistake
new Punjabi song naye Punjabi song, नू ब्रेन युवर 20 नए पंजाबी सो,, Incorrect Prediction of repetition of words
add channels, आड चैनल्स,, Similar Sounding Word Predicted
BEL, बिल,, No mistake
yes I mean prepaid recharge which one should I do, येस आइ मीन प्रीपेड रिचार्ज व्हिच 1 शुड आइ डु,, No mistake
container Airtel, कंटिव एयरटेल,, Incorrect Single Word Prediction
written by, बटन बे,, Wrong Ground Truth
Airtel thanks app mein agar offer Aaya ho to usse download kaise karen, एयरटेल थैंक्स एप में अगर ऑफर आया हो तो उसे डाउनलोड कैसे करें,, No mistake
data, डाट,, Doesnt pick up English
hello, हैलो,, No mistake
aap batao, आप बताओ,, No mistake
data packs, डेटा पैक्स,, No mistake
unlimited calls recharge kaun sa hai, अनलिमिटेड कॉल रिचार्ज का साह,, Similar Sounding Word Predicted
mitron, इंटीन,,  Both model prediction and ground truth wrong
free data, फ्री डाटा,, No mistake
Airtel Dish recharge, एयरटेल डिश रिचार्ज,, No mistake
call tune, को यु,, Random Prediction
yes, येस,, No mistake
mera mobile number, मेरा माइल नंबर,, Similar Sounding Word Predicted
han, हा,, No mistake
Sony TV Indian Idol, सोनी टीवी इन ए नार,, Random Prediction
Mujhe GTV dikhao, ट वुड यु डिक,, Random Prediction
funny video batao, फनी वीडियो बताओ,, No mistake
main 10 ka Kitna internet use Kiya, मैंने दिन का कितना इंटरनेट यूज किया,, Wrong Ground Truth
Mera DND activate kar do, मेरा डी एन डी एक्टिवेट कर दो,, No mistake
balance, टाटा बैलेंस,,  Both model prediction and ground truth wrong
account balance, अकाउंट बैलेंस,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
main recharge kitne Tak ho sakta hai, मेरी जी दिन तक हो सकता है,, Random Prediction
call details record, कॉल डिक होता है,, Incorrect Prediction of repetition of words
my active data plans, माइ एक्टिव डाटा प्लान्स,, No mistake
call details record, कॉल डिक होता है,, Doesnt pick up English
how we can get free data, हाउ वी कान गेट फ्री डाटा,, Incorrect Single Word Prediction
Airtel Wi-Fi pack, एयरटेल वाई 5 बैक,, Doesnt pick up English
free, री,, Doesnt pick up English
hello tunes Kaise activate Karen, हेलो ट्यून कैसे एक्टिवेट करें,, No mistake
han, हा,, Similar Sounding Word Predicted
extra data kab milega, एक्त्रा डाटा कब मिलेगा,, Incorrect Single Word Prediction
account stoppage help me activate account, अकाउंट डु द स्टोर बिग एक्टिव अकाउंट,, Random Prediction
Mujhe DND activate karna hai, मुझे डी एन डी एक्टिवेट करना है,, No mistake
aaj ka Mera data use, आज का मे डाटा यूज,, Incorrect Single Word Prediction
no, 9,, Random Prediction
Mujhe network mein problem hai, मुझे नेटवर्क में प्रॉब्लम आ रही है,, Wrong Ground Truth
iska kya meaning hai, इसका क्या मिलेंगे है,, Incorrect Single Word Prediction
yes, येस,, No mistake
hello tune can be activated directly on the wynk app, हेलो टन कान बी एक्टीवटेड डाइरेकली ऑन द विंग कप,, Incorrect Single Word Prediction
Mera balance kya hai, मेरा का वास क्या है,, Incorrect Single Word Prediction
ringtone lagaane ke liye, रिंगटोन लगाने के लिए,, No mistake
hello tune can be activated directly on the wynk app, हेलो टन कान बी एक्टीवटेड डाइरेकली ऑन द विंग कप,, Incorrect Prediction of repetition of words
Mujhe Meri payment history batao, मास मे पेमेंट इस बा,, Incorrect Prediction of repetition of words
my rewards, माइ डी ब,, Random Prediction
naye plan ki recharge, नए प्लान के रिचार्ज,, Similar Sounding Word Predicted
fast tag, फास्टग,, Doesnt pick up English
naye plan ki recharge, नए प्लान के रिचार्ज,, No mistake
Kitna Samay lagega aur Hamen 5 se 6 ghante Ho chuke hain, कितना समय लगेगा और कम फंसे टी एंड थे वुड गार,, Incorrect Prediction of repetition of words
Mera account balance kitna hai, मेरा अकाउंट बैलेंस कितना है,, Similar Sounding Word Predicted
account balance, अकाउंट बिलिस,, Incorrect Single Word Prediction
call nahin kar pa rahe hain, कॉल्स नहीं कर पा रहे हैं,, Similar Sounding Word Predicted
Airtel Wi-Fi, एयरटेल बाइक फाई,, Incorrect Single Word Prediction
bill details, बिल डिटेल,, Similar Sounding Word Predicted
hello, हैलो,, No mistake
aur mere liye kya kya kar sakte ho, ऑटोमेटेडली डाक दो स्टिल,, Random Prediction
mera number Kyon Nahin chal raha hai, मेरा नंबर क्यों नहीं चल रहा,, Last word verb missing
hello tune, हेलो टून,, No mistake
Mujhe recharge karne ke liye alag alag plans batao, मुझे रिचार्ज करने के लिए अलग प्लान्स बताओ,, No mistake
ki mera internet Nahin chal, की मेरा इंटरनेट नहीं चल रहा,, Wrong Ground Truth
account balance bata do, अकाउंट बैलेंस बता दो,, No mistake
Pahari song, पहाड़ी सो,, Incorrect Single Word Prediction
ATM se Dunga place, 3 से डु द पेस,, Incorrect Prediction of repetition of words
Pahari song, पहाड़ी सो,, Incorrect Single Word Prediction
the end, डीएनडी,, Wrong Ground Truth
Mera account balance, माइ अकाउंट बैलेंस,, Incorrect Single Word Prediction
hello tune on Airtel, हेलो टन जी एयरटेल,, Wrong Ground Truth
aap Sikh Rahe Ho To Main Kya Karun, आप सीख रहा हो तो मैं क्या करूं,, Incorrect Single Word Prediction
DND request, डीडी रीक्वेस्ट,, Random Prediction
my last 5 incoming calls, माइ लास्ट 5 इनकमिंग कॉल्स,, No mistake
account balance, द फाउंड द बैलेंस,, Incorrect Single Word Prediction
account balance, अकाउंट बैलेंस,, Similar Sounding Word Predicted
my Airtel wallet is not giving payment sir, माइ एयरटेल लेट इस नोट गिविंग पेमेंट्र,, Last word verb missing
Jado Mada Hunda time, जो मारा काटा और को भी जाते हैं,,  Both model prediction and ground truth wrong
Delta T batao validity kya hai, वैलिडिटी बताओ वैलिडिटी क्या है,, Incorrect Prediction of repetition of words
my recharge, माइ रिचार्ज,, No mistake
he turned sharply and faced direction across the table, ही टर्न्ड शेप्ली एंड फेस ग्रेसन ऐक्रॉस द टेबल,, Wrong Ground Truth
250 rupaye ka recharge, 1010  गाडी ज,, Random Prediction
DND, डीएनडी,, No mistake
roaming pack, रोमिंग पैक,, No mistake
bill details, डिटेल,, Incorrect Prediction of repetition of words
how can I use Airtel Wi-Fi pack, हाउ कान आइ यूस एयरटेल बाबा बाक,, Incorrect Prediction of repetition of words
hello tune, हो,, Incorrect Single Word Prediction
Mera account balance kya hai, मेरा अकाउंट बैलेंस क्या है,, No mistake
what is my account balance, वाट इस माइ अकाउंट बैलेंस,, No mistake
data booster kaise karen, डाटा बू आने सुरे को,, Incorrect Prediction of repetition of words
hello tune, हो,, Random Prediction
caller tune, कौलर दो,, Incorrect Single Word Prediction
kya aap mujhse pyar karte ho, कम से थे,, Random Prediction
kya likh, लिह,, Fast Spoken Sentence
network issue, नेटवर्क इशू,, Incorrect Single Word Prediction
Mera account balance kya hai, मेरा अकाउंट बैलेंस क्या है,, No mistake
Koi Achcha Sa plan bataiye monthly plan, कोई अच्छा सा प्लान बताइये मन की प्लान,, Incorrect Single Word Prediction
alag alag plans batao, अलग अलग प्लान्स बताओ,, No mistake
Freecharge offer, रिचार्ज ऑफर,, Wrong Ground Truth
printonica Dinon Se chal Nahin Raha, मेड इंटरनेट गेस जेलिना,,  Both model prediction and ground truth wrong
data band, डाटा 1,, No mistake
DND request kya hai DND, डीएनडी क्रस्ट के हर डीएनडी,, Incorrect Prediction of repetition of words
cricket, कैंडिड,, Doesnt pick up English
Tata recharge, टाटा रिचार्ज,, No mistake
data, डाटा,, No mistake
yes sir, येस सर,, No mistake
recharge, रिचार्ज,, No mistake
mera mera data Thana Jila bataiye, मेरे मेरा डाटा बैलेंस डिनर बताय,,  Both model prediction and ground truth wrong
mera phone mein net Nahin chal raha hai, मेरा फ़ोन में नेट नहीं चल रहा है,, No mistake
he turned sharply and faced direction across the table, ही टर्न्ड शेप्ली एंड फेस ग्रेसन ऐक्रॉस द टेबल,,  Both model prediction and ground truth wrong
recharge, रिचार्ज,, No mistake
kilikal se kitne rupaye ka recharge, कीवी कन टिकट द मिड ऑफ द पेड ऑन सो एंड तो बेक,, Random Prediction
Telecaller recharge kaun sa, चाला काला रिचार्ज कौनसा है,,  Both model prediction and ground truth wrong
recharge detail for this number last, रिचर्ड दो बी गिर पोर्ट थिस नंबर लास्ट,, Incorrect Prediction of repetition of words
Mera internet Kahin Se Chalta hi nahin hai, मेरा इंटरनेट कह दिनों से चलता ही नहीं है,, Wrong Ground Truth
Mera balance, मेरा बैलेंस,, Similar Sounding Word Predicted
data balance, डाटा बैलेंस,, No mistake
Mera internet uses dikha do, मेरा इंटरनेट सेज दिखा दो,, Incorrect Single Word Prediction
unable to use internet, अनेइबल दो यूस इंटरनेट,, Incorrect Single Word Prediction
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, Incorrect Single Word Prediction
Mera data kitna hai, मेरा डाटा कितना है,, No mistake
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, P instead of B
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, Fast Spoken Sentence
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, P instead of B
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, Incorrect Single Word Prediction
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, Incorrect Prediction of repetition of words
hello, य,, Doesnt pick up English
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,,  Both model prediction and ground truth wrong
network Nahin a Raha, नेटवर्क नहीं आ रहा,, Similar Sounding Word Predicted
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, Incorrect Prediction of repetition of words
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, Incorrect Single Word Prediction
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, P instead of B
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, Fast Spoken Sentence
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, P instead of B
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, Incorrect Single Word Prediction
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, Incorrect Prediction of repetition of words
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, Incorrect Single Word Prediction
hello  mujhe all India roaming  free karna hai, हैलो मुझे आ इन द रोमिंग फ्री करना है,, Incorrect Prediction of repetition of words
hello tune, हेलो ट्यून,, No mistake
theek hai, ठीक है,, No mistake
Duster Ke Piche  Mera data balance Kitna bacha hai, मेरा डाटा बेस कितना वसा है,, Incorrect Prediction of repetition of words
Airtel hello tune Kaise lagaen, एयरटेल हेलो ट्यून कैसे लगाएं,, No mistake
Airtel app Silicon site, टेल अब सिलिकॉन सा,, Incorrect Prediction of repetition of words
family shares, फ़ामिली सिर,, Random Prediction
hello Star Plus channel, स्टारप्लस चैनल,, Doesnt pick up English
Jo Mera 1 month ka recharge hai, जो मेरा 1 मंथ का रिचार्ज है,, No mistake
data balance, डाटा बैलेंस,, Similar Sounding Word Predicted
data balance, डाटा बैलेंस,, No mistake
Airtel recharge, एयरटेल रिचार्ज,, No mistake
50 ka recharge kar do, 50 का रिचर्च कर दो,, No mistake
bill details, बिल डिटेल,, Similar Sounding Word Predicted
account balance, अकाउंट बैलेस,, No mistake
yes, येस,, No mistake
fuck you, छत्ती,, Last word verb missing
jio tune Kaise set Karen, जी ट्यून के साथ करें,, Incorrect Single Word Prediction
Sony Pal channel, सोने पर चैनल,, Similar Sounding Word Predicted
fuck you, छत्ती,, Doesnt pick up English
recharge, डी ड,, Doesnt pick up English
